Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
61,HolaSoyGerman,Lifestyle_(sociology),"43,600,000",CL,0,0,0,http://youtube.com/channel/UCZJ7m7EnCNodqnu5SAtg8eQ
62,Mikecrack,Action_game,"43,400,000",ES,"2,200,000","183,400","1,800",http://youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ
63,toysandcolors,Lifestyle_(sociology),"42,900,000",US,"2,000,000","4,600",0,http://youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A
64,speedrecords,Music_of_Asia,"42,900,000",IN,"21,100","1,100",30,http://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew
65,LikeNastya_Show,Hobby,"42,500,000",US,"972,200","2,400",0,http://youtube.com/channel/UCS94J1s6-qc8v7btCdS2pNg
66,KimberlyLoaiza,Lifestyle_(sociology),"42,100,000",MX,"5,300,000","271,300","16,000",http://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ
67,IshtarMusic,Music_of_Asia,"42,100,000",IN,"32,600",994,9,http://youtube.com/channel/UCWi_65E_L8tQZ34C6wVAlpQ
68,luisitocomunica,Tourism,"41,100,000",MX,"2,500,000","128,900","1,800",http://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA
69,LittleBabyBum,Music,"41,000,000",US,"99,000",184,0,http://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q
70,shfa2,Lifestyle_(sociology),"40,600,000",AE,"585,500","4,800",0,http://youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ
71,CarryMinati,Entertainment,"40,300,000",IN,0,0,0,http://youtube.com/channel/UCj22tfcQrWG7EMEKS0qLeEg
72,luccastoon,Film,"40,100,000",BR,"588,600","13,100",0,http://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA
73,SuperSimpleSongs,Music,"39,900,000",CA,"648,400","10,100",0,http://youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q
74,JessNoLimit,Video_game_culture,"39,600,000",ID,"1,300,000","73,500","1,600",http://youtube.com/channel/UCvh1at6xpV1ytYOAzxmqUsA
75,xxxtentacion,Electronic_music,"39,500,000",US,"225,700","28,500","2,900",http://youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw
76,SonyPAL,Entertainment,"39,500,000",IN,"21,800",255,9,http://youtube.com/channel/UCw7xjxzbMwgBSmbeYwqYRMg
77,WorkpointOfficial,Television_program,"39,400,000",TH,"6,200",157,1,http://youtube.com/channel/UC3ZkCd7XtUREnjjt3cyY_gg
